"counts" "density" "mids"
33 0.000659999999999999 1.05
3661 0.0732200000000001 1.15
21298 0.42596 1.25
42279 0.845580000000001 1.35
44763 0.895259999999999 1.45
31892 0.637839999999999 1.55
19921 0.39842 1.65
15879 0.31758 1.75
18350 0.367 1.85
 26012 0.52024 1.95
 33379 0.667579999999999 2.05
 30167 0.603339999999999 2.15
 21717 0.434340000000002 2.25
 14843 0.296859999999998 2.35
 13149 0.262980000000001 2.45
 15168 0.30336 2.55
 17242 0.34484 2.65
 15835 0.316700000000001 2.75
 11229 0.224579999999999 2.85
 7170 0.1434 2.95
 5845 0.1169 3.05
 7420 0.1484 3.15
 10946 0.21892 3.25
 13159 0.26318 3.35
 10249 0.204980000000001 3.45
 5730 0.1146 3.55
 2848 0.0569599999999999 3.65
 2062 0.04124 3.75
 2622 0.05244 3.85
 4211 0.0842200000000003 3.95
 5140 0.1028 4.05
 4327 0.0865399999999995 4.15
 2599 0.0519799999999997 4.25
 1624 0.0324800000000001 4.35
 1392 0.0278400000000001 4.45
 1769 0.0353800000000001 4.55
 2122 0.0424399999999998 4.65
 1948 0.0389599999999998 4.75
 1225 0.0245000000000001 4.85
 701 0.01402 4.95
 508 0.0101599999999999 5.05
 677 0.01354 5.15
 1114 0.0222800000000001 5.25
 1398 0.0279599999999998 5.35
 931 0.0186200000000001 5.45
 478 0.00955999999999995 5.55
 211 0.00422000000000001 5.65
 173 0.00345999999999998 5.75
 197 0.00394000000000001 5.85
 383 0.00766000000000003 5.95
 427 0.00853999999999995 6.05
 323 0.00646000000000002 6.15
 178 0.00355999999999998 6.25
 112 0.00224000000000001 6.35
 86 0.00172000000000001 6.45
 118 0.00235999999999999 6.55
 154 0.00308000000000001 6.65
 112 0.00223999999999999 6.75
 75 0.00150000000000001 6.85
 34 0.000680000000000002 6.95
 23 0.000459999999999998 7.05
 33 0.000660000000000002 7.15
 62 0.00123999999999999 7.25
 86 0.00172000000000001 7.35
 42 0.000840000000000003 7.45
 20 0.000399999999999998 7.55
 9 0.000180000000000001 7.65
 10 0.000199999999999999 7.75
 6 0.00012 7.85
 15 0.000300000000000001 7.95
 16 0.000319999999999995 8.05
 16 0.000320000000000007 8.15
 5 9.99999999999986e-05 8.25
 1 2.00000000000001e-05 8.35
 5 1e-04 8.45
 2 3.99999999999994e-05 8.55
 8 0.000160000000000003 8.65
 7 0.000139999999999998 8.75
 2 4.00000000000001e-05 8.85
 1 2.00000000000001e-05 8.95
 4 8.00000000000003e-05 9.05
 2 3.99999999999994e-05 9.15
 1 2.00000000000001e-05 9.25
 2 4.00000000000001e-05 9.35
 2 4.00000000000001e-05 9.45
 0 0 9.55
 0 0 9.65
 0 0 9.75
 0 0 9.85
 1 2.00000000000001e-05 9.95
 3 6.00000000000002e-05 10.05
 1 1.99999999999997e-05 10.15
