time1       St         Vt
2014/12/31 2058.899902 19.200001
2014/11/30 2067.560059 13.33
2014/10/31 2018.050049 14.03
2014/09/30 1972.290039 16.309999
2014/08/31 2003.369995 12.09
2014/07/31 1930.670044 16.950001
2014/06/30 1960.22998  11.57
2014/05/31 1923.569946 11.4
2014/04/30 1883.949951 13.41
2014/03/31 1872.339966 13.88
2014/02/28 1859.449951 14
2014/01/31 1782.589966 18.41
2013/12/31 1848.359985 13.72
2013/11/30 1805.810059 13.7
2013/10/31 1756.540039 13.75
2013/09/30 1681.550049 16.6
2013/08/31 1632.969971 17.01
2013/07/31 1685.72998  13.45
2013/06/30 1606.280029 16.860001
2013/05/31 1630.73999  16.299999
2013/04/30 1597.569946 13.52
2013/03/31 1569.189941 12.7
2013/02/28 1514.680054 15.51
2013/01/31 1498.109985 14.38
2012/12/31 1426.189941 18.02
2012/11/30 1416.180054 15.87
2012/10/31 1412.160034 18.6
2012/09/30 1440.670044 15.73
2012/08/31 1406.579956 17.469999
2012/07/31 1379.319946 18.93
2012/06/30 1362.160034 17.08
2012/05/31 1310.329956 24.059999
2012/04/30 1397.910034 17.15
2012/03/31 1408.469971 15.5
2012/02/29 1365.680054 18.43
2012/01/31 1312.410034 19.440001
2011/12/31 1257.599976 23.4
2011/11/30 1246.959961 27.799999
2011/10/31 1253.300049 29.959999
2011/09/30 1131.420044 42.959999
2011/08/31 1218.890015 31.620001
2011/07/31 1292.280029 25.25
2011/06/30 1320.640015 16.52
2011/05/31 1345.199951 15.45
2011/04/30 1363.609985 14.75
2011/03/31 1325.829956 17.74
2011/02/28 1327.219971 18.35
2011/01/31 1286.119995 19.530001
2010/12/31 1257.640015 17.75
2010/11/30 1180.550049 23.540001
2010/10/31 1183.26001  21.200001
2010/09/30 1141.199951 23.700001
2010/08/31 1049.329956 26.049999
2010/07/31 1101.599976 23.5
2010/06/30 1030.709961 34.540001
2010/05/31 1089.410034 32.07
2010/04/30 1186.689941 22.049999
2010/03/31 1169.430054 17.59
2010/02/28 1104.48999  19.5
2010/01/31 1073.869995 24.620001
2009/12/31 1115.099976 21.68
2009/11/30 1095.630005 24.51
2009/10/31 1036.189941 30.690001
2009/09/30 1057.079956 25.610001
2009/08/31 1020.619995 26.01
2009/07/31 987.47998   25.92
2009/06/30 919.320007  26.35
2009/05/31 919.140015  28.92
2009/04/30 872.809998  36.5
2009/03/31 797.869995  44.139999
2009/02/28 735.090027  46.349998
2009/01/31 825.880005  44.84
2008/12/31 903.25      40
2008/11/30 896.23999   55.279999
2008/10/31 968.75      59.889999
2008/09/30 1166.359985 39.389999
2008/08/31 1282.829956 20.65
2008/07/31 1267.380005 22.940001
2008/06/30 1280        23.950001
2008/05/31 1400.380005 17.83
2008/04/30 1385.589966 20.790001
2008/03/31 1322.699951 25.610001
2008/02/29 1330.630005 26.540001
2008/01/31 1378.550049 26.200001
2007/12/31 1468.359985 22.5
2007/11/30 1481.140015 22.870001
2007/10/31 1549.380005 18.530001
2007/09/30 1526.75     18
2007/08/31 1473.98999  23.379999
